00 001212F0 nop
01 00121360 end
02 0011C0F0 if
03 00121430 int_goto
04 001214A8 int_call
05 0011C3B8 int_return
06 00121570 ext_goto
07 0011C570 ext_call
08 0011C708 ext_return
09 0011C8A8 reg_calc
0A 001216B8 count_clear
0B 0011CC40 count_wait
0C 0011CDD0 time_wait
0D 0011CF28 pad_wait
0E 00121758 pad_get
0F 001217E0 file_read
10 00121888 file_wait
11 00121920 msg_wind
12 0011D088 msg_view
13 001219A8 msg_mode
14 00121AA0 msg_pos
15 00121B30 msg_size
16 00121BC0 msg_type
17 00121C48 msg_cursor
18 00121CD8 msg_set
19 00121D70 msg_wait
1A 00121E38 msg_clear
1B 00121EB8 msg_line
1C 00121F40 msg_speed
1D 00121FC8 msg_color
1E 00122050 msg_anim
1F 0011DBF8 msg_disp
20 001220D8 sel_set
21 00122168 sel_entry
22 00122200 sel_view
23 00122288 sel_wait
24 00122380 sel_style
25 0011E2F0 sel_disp
26 00122408 fade_start
27 0011D1C8 fade_wait
28 001224D8 grap_set
29 00122588 grap_del
2A 00122AF8 grap_copy
2B 00122610 grap_view
2C 00122720 grap_pos
2D 0011D2D0 grap_move
2E 001227D8 grap_prio
2F 00122868 grap_anim
30 001228F8 grap_pal
31 001229C0 grap_lay
32 00122A50 grap_wait
33 0011F340 grap_disp
34 00122B88 effect_start
35 00122C18 effect_end
36 00122CA0 effect_wait
37 00122D10 bgm_set
38 00122DA8 bgm_del
39 00122E28 bgm_req
3A 00122EB0 bgm_wait
3B 00122F48 bgm_speed
3C 00122FD8 bgm_vol
3D 00123080 se_set
3E 00123118 se_del
3F 00123198 se_req
40 0011D420 se_wait
41 00123220 se_speed
42 001232B0 se_vol
43 00123358 voice_set
44 001233E8 voice_del
45 00123468 voice_req
46 001234F0 voice_wait
47 001235B0 voice_speed
48 00123640 voice_vol
49 001236D0 menu_lock
4A 00123758 save_lock
4B 001237E8 save_check
4C 00123888 save_title
4D 00123920 save_disp
4E 0011D620 disk_change
4F 00123A00 skip_start
50 00123A80 skip_end
51 00123AF8 task_entry
52 00123B90 task_del
53 0011F678 cal_disp
54 0011FA40 title_disp
55 00123BC8 vib_start
56 00123C58 vib_end
57 00123CE0 vib_wait
58 00123D50 map_view
59 00123DC0 map_entry
5A 0011FB88 map_disp
5B 0011FF80 edit_view
5C 00120088 chat_send
5D 0011FE30 chat_msg
5E 00123E30 chat_entry
5F 00123EC8 chat_exit
60 00000000 null
61 00120190 movie_play
62 00123F50 grap_pos_auto
63 00124058 grap_pos_save
64 00120360 grap_uv_auto
65 001240E0 grap_uv_save
66 00120498 effect_ex
67 00120928 fade_ex
68 00124168 vib_ex
69 00124250 clock_disp
6A 0011F340 grap_disp_ex
6B 001243C8 map_init_ex
6C 00120B48 map_point_ex
6D 00120C98 map_route_ex
6E 00124470 quick_save
6F 00124578 trace_spc
70 00120E28 sys msg
71 00124650 skip lock
72 001246D8 key lock
73 0011F340 grap_disp2
74 0011DBF8 msg_disp2
75 0011E2F0 sel_disp2
76 00124300 date_disp
77 00124760 vr_disp
78 00124768 vr_select
79 00124770 vr_reg_calc
7A 0011DBF8 vr_msg_disp
7B 00124778 map_select
7C 00124788 ecg_set
7D 00121010 ev_init
7E 00124790 ev_disp
7F 00124868 ev_anim
80 00124900 eye_lock
81 00124988 msg_log
